instant,tanggal,musim,tahun,bulan,holiday,weekday,workingday,cuaca,temp,atemp,kelembaban,kecepatan_angin,casual,registered,total_count,windspeed,day_type
14,2011-01-14,Musim dingin,2011,January,0,Jummat,Ya,Jelas,6.59567,9.42065,53.7826,0.126548,54,1367,1421,8.478716,Weekday
15,2011-01-15,Musim dingin,2011,January,0,Sabtu,Tidak,Berkabut,9.566653,12.4056,49.875,0.157963,222,1026,1248,10.583521,Weekend/Holiday
16,2011-01-16,Musim dingin,2011,January,0,Minggu,Tidak,Jelas,9.498347,11.71085,48.375,0.188433,251,953,1204,12.625010999999999,Weekend/Holiday
17,2011-01-17,Musim dingin,2011,January,1,Senin,Tidak,Berkabut,7.209153,8.838550000000001,53.75,0.194017,117,883,1000,12.999139,Weekday
18,2011-01-18,Musim dingin,2011,January,0,Selasa,Ya,Berkabut,8.883347,11.61665,86.16669999999999,0.146775,9,674,683,9.833924999999999,Weekday
19,2011-01-19,Musim dingin,2011,January,0,Rabu,Ya,Berkabut,11.979134,14.921100000000001,74.1739,0.208317,78,1572,1650,13.957239,Weekday
20,2011-01-20,Musim dingin,2011,January,0,Kamis,Ya,Berkabut,10.728347,12.7525,53.833299999999994,0.195904,83,1844,1927,13.125568,Weekday
21,2011-01-21,Musim dingin,2011,January,0,Jummat,Ya,Jelas,7.2775,7.89165,45.7083,0.353242,75,1468,1543,23.667214,Weekday
22,2011-01-22,Musim dingin,2011,January,0,Sabtu,Tidak,Jelas,2.4243464,3.9534800000000003,40.0,0.17197,93,888,981,11.52199,Weekend/Holiday
23,2011-01-23,Musim dingin,2011,January,0,Minggu,Tidak,Jelas,3.9573897000000002,4.941955,43.6522,0.2466,150,836,986,16.5222,Weekend/Holiday
24,2011-01-24,Musim dingin,2011,January,0,Senin,Ya,Jelas,3.9930433,5.8965,49.173899999999996,0.15833,86,1330,1416,10.60811,Weekday
25,2011-01-25,Musim dingin,2011,January,0,Selasa,Ya,Berkabut,9.162598000000001,11.7263,61.695699999999995,0.129796,186,1799,1985,8.696332,Weekday
26,2011-01-26,Musim dingin,2011,January,0,Rabu,Ya,Hujan_RinganSalju,8.9175,10.18,86.25,0.29385,34,472,506,19.68795,Weekday
27,2011-01-27,Musim dingin,2011,January,0,Kamis,Ya,Jelas,7.995,10.985,68.75,0.113837,15,416,431,7.627078999999999,Weekday
28,2011-01-28,Musim dingin,2011,January,0,Jummat,Ya,Berkabut,8.342597999999999,11.165849999999999,79.30430000000001,0.1233,38,1129,1167,8.2611,Weekday
29,2011-01-29,Musim dingin,2011,January,0,Sabtu,Tidak,Jelas,8.057402,10.606300000000001,65.17389999999999,0.145365,123,975,1098,9.739455,Weekend/Holiday
30,2011-01-30,Musim dingin,2011,January,0,Minggu,Tidak,Jelas,8.877402,12.5161,72.2174,0.0739826,140,956,1096,4.956834199999999,Weekend/Holiday
31,2011-01-31,Musim dingin,2011,January,0,Senin,Ya,Berkabut,7.414153,9.3125,60.375,0.187192,42,1459,1501,12.541864,Weekday
32,2011-02-01,Musim dingin,2011,February,0,Selasa,Ya,Berkabut,7.8791340000000005,11.7265,82.9565,0.053213,47,1313,1360,3.565271,Weekday
33,2011-02-02,Musim dingin,2011,February,0,Rabu,Ya,Berkabut,10.66,12.72085,77.5417,0.264308,72,1454,1526,17.708636,Weekday
34,2011-02-03,Musim dingin,2011,February,0,Kamis,Ya,Jelas,7.665237,8.8939,43.7826,0.277752,61,1489,1550,18.609384,Weekday
35,2011-02-04,Musim dingin,2011,February,0,Jummat,Ya,Berkabut,8.663464,11.429350000000001,58.521699999999996,0.127839,88,1620,1708,8.565213,Weekday
36,2011-02-05,Musim dingin,2011,February,0,Sabtu,Tidak,Berkabut,9.566653,12.152899999999999,92.91669999999999,0.161079,100,905,1005,10.792293,Weekend/Holiday
37,2011-02-06,Musim dingin,2011,February,0,Minggu,Tidak,Jelas,11.719153,14.58355,56.833299999999994,0.1418,354,1269,1623,9.5006,Weekend/Holiday
38,2011-02-07,Musim dingin,2011,February,0,Senin,Ya,Jelas,11.138347,15.1829,73.83330000000001,0.0454083,120,1592,1712,3.0423561,Weekday
39,2011-02-08,Musim dingin,2011,February,0,Selasa,Ya,Jelas,9.054153,9.9123,53.7917,0.36195,64,1466,1530,24.25065,Weekday
40,2011-02-09,Musim dingin,2011,February,0,Rabu,Ya,Berkabut,5.526102999999999,7.21415,49.4783,0.188839,53,1552,1605,12.652213,Weekday
41,2011-02-10,Musim dingin,2011,February,0,Kamis,Ya,Jelas,5.918268,7.477399999999999,43.7391,0.221935,47,1491,1538,14.869645,Weekday
42,2011-02-11,Musim dingin,2011,February,0,Jummat,Ya,Jelas,7.752731000000001,10.67545,50.6364,0.10855,149,1597,1746,7.272849999999999,Weekday
43,2011-02-12,Musim dingin,2011,February,0,Sabtu,Tidak,Jelas,9.1225,11.6477,54.4167,0.203367,288,1184,1472,13.625589,Weekend/Holiday
44,2011-02-13,Musim dingin,2011,February,0,Minggu,Tidak,Jelas,12.977402000000001,16.20565,45.7391,0.260883,397,1192,1589,17.479160999999998,Weekend/Holiday
45,2011-02-14,Musim dingin,2011,February,0,Senin,Ya,Jelas,17.015,19.9175,37.583299999999994,0.417908,208,1705,1913,27.999836,Weekday
46,2011-02-15,Musim dingin,2011,February,0,Selasa,Ya,Jelas,10.909567000000001,12.7137,31.434800000000003,0.291374,140,1675,1815,19.522058,Weekday
47,2011-02-16,Musim dingin,2011,February,0,Rabu,Ya,Jelas,13.048701000000001,15.809999999999999,42.3478,0.251791,218,1897,2115,16.869996999999998,Weekday
48,2011-02-17,Musim dingin,2011,February,0,Kamis,Ya,Jelas,17.869153,21.4329,50.5,0.230104,259,2216,2475,15.416968,Weekday
49,2011-02-18,Musim dingin,2011,February,0,Jummat,Ya,Jelas,21.388347,25.599149999999998,51.6667,0.264925,579,2348,2927,17.749975000000003,Weekday
50,2011-02-19,Musim dingin,2011,February,0,Sabtu,Tidak,Jelas,16.365847,19.5702,18.7917,0.507463,532,1103,1635,34.000021,Weekend/Holiday
51,2011-02-20,Musim dingin,2011,February,0,Minggu,Tidak,Jelas,11.693897,13.8665,40.7826,0.223235,639,1173,1812,14.956745,Weekend/Holiday
52,2011-02-21,Musim dingin,2011,February,1,Senin,Tidak,Berkabut,12.436653000000002,14.203750000000001,60.5,0.307846,195,912,1107,20.625682,Weekday
53,2011-02-22,Musim dingin,2011,February,0,Selasa,Ya,Jelas,7.471102,9.30165,57.7778,0.195683,74,1376,1450,13.110761,Weekday
54,2011-02-23,Musim dingin,2011,February,0,Rabu,Ya,Jelas,9.091299,12.28585,42.3043,0.094113,139,1778,1917,6.3055710000000005,Weekday
55,2011-02-24,Musim dingin,2011,February,0,Kamis,Ya,Berkabut,12.121732000000002,14.459549999999998,69.7391,0.250496,100,1707,1807,16.783231999999998,Weekday
56,2011-02-25,Musim dingin,2011,February,0,Jummat,Ya,Berkabut,14.938268,17.52305,71.2174,0.346539,120,1341,1461,23.218113,Weekday
57,2011-02-26,Musim dingin,2011,February,0,Sabtu,Tidak,Jelas,11.5825,14.1096,53.7917,0.186571,424,1545,1969,12.500257,Weekend/Holiday
58,2011-02-27,Musim dingin,2011,February,0,Minggu,Tidak,Jelas,14.082598,17.55545,68.0,0.125248,694,1708,2402,8.391615999999999,Weekend/Holiday
59,2011-02-28,Musim dingin,2011,February,0,Senin,Ya,Berkabut,16.698193,20.005899999999997,87.63640000000001,0.289686,81,1365,1446,19.408962,Weekday
60,2011-03-01,Musim dingin,2011,March,0,Selasa,Ya,Jelas,10.933347,13.19395,53.5,0.216425,137,1714,1851,14.500475,Weekday
61,2011-03-02,Musim dingin,2011,March,0,Rabu,Ya,Jelas,13.735000000000001,16.00355,44.9583,0.307833,231,1903,2134,20.624811,Weekday
62,2011-03-03,Musim dingin,2011,March,0,Kamis,Ya,Jelas,8.131653,10.00665,31.833299999999998,0.225754,123,1562,1685,15.125518000000001,Weekday
63,2011-03-04,Musim dingin,2011,March,0,Jummat,Ya,Berkabut,10.728347,12.783949999999999,61.0417,0.203346,214,1730,1944,13.624182,Weekday
64,2011-03-05,Musim dingin,2011,March,0,Sabtu,Tidak,Berkabut,15.750846999999998,18.93895,78.91669999999999,0.251871,640,1437,2077,16.875357,Weekend/Holiday
65,2011-03-06,Musim dingin,2011,March,0,Minggu,Tidak,Berkabut,15.437402,18.3126,94.8261,0.343287,114,491,605,23.000229,Weekend/Holiday
66,2011-03-07,Musim dingin,2011,March,0,Senin,Ya,Jelas,10.731299,11.92305,55.1304,0.341352,244,1628,1872,22.870584,Weekday
67,2011-03-08,Musim dingin,2011,March,0,Selasa,Ya,Jelas,11.9925,15.120000000000001,42.0833,0.12065,316,1817,2133,8.083549999999999,Weekday
68,2011-03-09,Musim dingin,2011,March,0,Rabu,Ya,Berkabut,12.129153,14.3304,77.5417,0.22015,191,1700,1891,14.750050000000002,Weekday
69,2011-03-10,Musim dingin,2011,March,0,Kamis,Ya,Hujan_RinganSalju,15.952731,19.2834,0.0,0.261877,46,577,623,17.545759,Weekday
70,2011-03-11,Musim dingin,2011,March,0,Jummat,Ya,Berkabut,12.977402000000001,15.25,64.95649999999999,0.23297,247,1730,1977,15.60899,Weekday
71,2011-03-12,Musim dingin,2011,March,0,Sabtu,Tidak,Jelas,13.495847,16.287499999999998,59.458299999999994,0.220775,724,1408,2132,14.791924999999999,Weekend/Holiday
72,2011-03-13,Musim dingin,2011,March,0,Minggu,Tidak,Jelas,15.758268000000001,19.004550000000002,52.73910000000001,0.270604,982,1435,2417,18.130468,Weekend/Holiday
73,2011-03-14,Musim dingin,2011,March,0,Senin,Ya,Jelas,13.333896999999999,16.6,49.695699999999995,0.136926,359,1687,2046,9.174042,Weekday
74,2011-03-15,Musim dingin,2011,March,0,Selasa,Ya,Berkabut,13.013031,15.908900000000001,65.5652,0.184309,289,1767,2056,12.348703,Weekday
75,2011-03-16,Musim dingin,2011,March,0,Rabu,Ya,Berkabut,14.973897000000001,18.3465,77.65220000000001,0.203117,321,1871,2192,13.608839,Weekday
76,2011-03-17,Musim dingin,2011,March,0,Kamis,Ya,Jelas,17.015,20.51665,60.291700000000006,0.209579,424,2320,2744,14.041792999999998,Weekday
77,2011-03-18,Musim dingin,2011,March,0,Jummat,Ya,Jelas,22.14,26.35045,52.5217,0.231017,884,2355,3239,15.478139,Weekday
78,2011-03-19,Musim dingin,2011,March,0,Sabtu,Tidak,Jelas,19.3725,23.32625,37.9167,0.368167,1424,1693,3117,24.667189,Weekend/Holiday
79,2011-03-20,Musim dingin,2011,March,0,Minggu,Tidak,Jelas,13.6325,16.287499999999998,47.375,0.207721,1047,1424,2471,13.917307,Weekend/Holiday
80,2011-03-21,Musim semi,2011,March,0,Senin,Ya,Berkabut,17.647835,20.48675,73.73910000000001,0.288783,401,1676,2077,19.348461,Weekday
81,2011-03-22,Musim semi,2011,March,0,Selasa,Ya,Jelas,18.108347,22.0321,62.4583,0.22575,460,2243,2703,15.125250000000001,Weekday
82,2011-03-23,Musim semi,2011,March,0,Rabu,Ya,Berkabut,14.225237,16.89695,83.9565,0.234261,203,1918,2121,15.695487,Weekday
83,2011-03-24,Musim semi,2011,March,0,Kamis,Ya,Berkabut,11.684999999999999,13.541649999999999,80.58330000000001,0.243787,166,1699,1865,16.333729,Weekday
84,2011-03-25,Musim semi,2011,March,0,Jummat,Ya,Jelas,10.830846999999999,12.8156,49.5,0.230725,300,1910,2210,15.458575000000002,Weekday
85,2011-03-26,Musim semi,2011,March,0,Sabtu,Tidak,Jelas,10.899153,12.87855,39.4167,0.209571,981,1515,2496,14.041257,Weekend/Holiday
86,2011-03-27,Musim semi,2011,March,0,Minggu,Tidak,Berkabut,10.374763000000002,12.51695,49.3913,0.1843,472,1221,1693,12.348099999999999,Weekend/Holiday
87,2011-03-28,Musim semi,2011,March,0,Senin,Ya,Jelas,10.838268000000001,12.878700000000002,30.2174,0.212204,222,1806,2028,14.217668,Weekday
88,2011-03-29,Musim semi,2011,March,0,Selasa,Ya,Jelas,12.4025,14.6454,31.4167,0.226996,317,2108,2425,15.208732,Weekday
89,2011-03-30,Musim semi,2011,March,0,Rabu,Ya,Berkabut,12.299999999999999,14.8675,64.6667,0.172888,168,1368,1536,11.583495999999998,Weekday
90,2011-03-31,Musim semi,2011,March,0,Kamis,Ya,Hujan_RinganSalju,11.001653,12.87875,91.8333,0.217646,179,1506,1685,14.582282000000001,Weekday
91,2011-04-01,Musim semi,2011,April,0,Jummat,Ya,Berkabut,12.299999999999999,14.172699999999999,68.625,0.258708,307,1920,2227,17.333436,Weekday
92,2011-04-02,Musim semi,2011,April,0,Sabtu,Tidak,Berkabut,12.915000000000001,15.78185,65.375,0.197146,898,1354,2252,13.208782,Weekend/Holiday
93,2011-04-03,Musim semi,2011,April,0,Minggu,Tidak,Jelas,15.511652999999999,18.93835,48.0,0.182213,1651,1598,3249,12.208271000000002,Weekend/Holiday
94,2011-04-04,Musim semi,2011,April,0,Senin,Ya,Jelas,23.506653,27.14645,42.625,0.385571,734,2381,3115,25.833257,Weekday
95,2011-04-05,Musim semi,2011,April,0,Selasa,Ya,Berkabut,16.980847,19.9175,64.2083,0.388067,167,1628,1795,26.000488999999998,Weekday
96,2011-04-06,Musim semi,2011,April,0,Rabu,Ya,Jelas,16.024153,19.3804,47.0833,0.263063,413,2395,2808,17.625221,Weekday
97,2011-04-07,Musim semi,2011,April,0,Kamis,Ya,Jelas,17.9375,21.684800000000003,60.291700000000006,0.162312,571,2570,3141,10.874904,Weekday
98,2011-04-08,Musim semi,2011,April,0,Jummat,Ya,Berkabut,13.769153,16.223950000000002,83.625,0.226992,172,1299,1471,15.208464,Weekday
99,2011-04-09,Musim semi,2011,April,0,Sabtu,Tidak,Berkabut,14.0425,17.07645,87.75,0.133083,879,1576,2455,8.916561,Weekend/Holiday
100,2011-04-10,Musim semi,2011,April,0,Minggu,Tidak,Berkabut,17.493347,21.33685,85.75,0.146767,1188,1707,2895,9.833389,Weekend/Holiday
101,2011-04-11,Musim semi,2011,April,0,Senin,Ya,Berkabut,24.421732,28.260849999999998,71.6956,0.324474,855,2493,3348,21.739758,Weekday
102,2011-04-12,Musim semi,2011,April,0,Selasa,Ya,Berkabut,20.6025,24.6527,73.9167,0.274879,257,1777,2034,18.416892999999998,Weekday
103,2011-04-13,Musim semi,2011,April,0,Rabu,Ya,Berkabut,16.912499999999998,20.864150000000002,81.91669999999999,0.250617,209,1953,2162,16.791338999999997,Weekday
104,2011-04-14,Musim semi,2011,April,0,Kamis,Ya,Jelas,19.1675,23.1371,54.041700000000006,0.1107,529,2738,3267,7.4169,Weekday
105,2011-04-15,Musim semi,2011,April,1,Jummat,Tidak,Jelas,18.313347,22.09565,67.125,0.226375,642,2484,3126,15.167124999999999,Weekday
106,2011-04-16,Musim semi,2011,April,0,Sabtu,Tidak,Hujan_RinganSalju,17.664153000000002,21.2746,88.83330000000001,0.340808,121,674,795,22.834136,Weekend/Holiday
107,2011-04-17,Musim semi,2011,April,0,Minggu,Tidak,Jelas,18.723347,22.2848,47.9583,0.303496,1558,2186,3744,20.334232,Weekend/Holiday
108,2011-04-18,Musim semi,2011,April,0,Senin,Ya,Jelas,21.0125,25.1573,54.25,0.163567,669,2760,3429,10.958988999999999,Weekday
109,2011-04-19,Musim semi,2011,April,0,Selasa,Ya,Berkabut,20.739152999999998,24.4629,66.5833,0.157971,409,2795,3204,10.584057,Weekday
110,2011-04-20,Musim semi,2011,April,0,Rabu,Ya,Jelas,24.395,28.2196,61.4167,0.241925,613,3331,3944,16.208975,Weekday
111,2011-04-21,Musim semi,2011,April,0,Kamis,Ya,Jelas,18.825847,22.6946,40.708299999999994,0.325258,745,3444,4189,21.792286,Weekday
112,2011-04-22,Musim semi,2011,April,0,Jummat,Ya,Berkabut,13.803347,16.0977,72.9583,0.219521,177,1506,1683,14.707906999999999,Weekday
113,2011-04-23,Musim semi,2011,April,0,Sabtu,Tidak,Berkabut,18.86,22.50605,88.79169999999999,0.230725,1462,2574,4036,15.458575000000002,Weekend/Holiday
114,2011-04-24,Musim semi,2011,April,0,Minggu,Tidak,Berkabut,23.848347,27.58815,81.08330000000001,0.192175,1710,2481,4191,12.875725000000001,Weekend/Holiday
115,2011-04-25,Musim semi,2011,April,0,Senin,Ya,Jelas,24.873347,28.725,77.6667,0.185333,773,3300,4073,12.417311,Weekday
116,2011-04-26,Musim semi,2011,April,0,Selasa,Ya,Jelas,25.898346999999998,29.704150000000002,72.9167,0.3265,678,3722,4400,21.875500000000002,Weekday
117,2011-04-27,Musim semi,2011,April,0,Rabu,Ya,Berkabut,25.419999999999998,28.7571,83.54169999999999,0.3122,547,3325,3872,20.917399999999997,Weekday
118,2011-04-28,Musim semi,2011,April,0,Kamis,Ya,Berkabut,25.317500000000003,28.946450000000002,70.08330000000001,0.320908,569,3489,4058,21.500836000000003,Weekday
119,2011-04-29,Musim semi,2011,April,0,Jummat,Ya,Jelas,20.91,24.87315,45.7083,0.240063,878,3717,4595,16.084221,Weekday
120,2011-04-30,Musim semi,2011,April,0,Sabtu,Tidak,Jelas,19.3725,23.201050000000002,50.3333,0.235075,1965,3347,5312,15.750025,Weekend/Holiday
121,2011-05-01,Musim semi,2011,May,0,Minggu,Tidak,Berkabut,18.518347,22.4102,76.2083,0.106354,1138,2213,3351,7.125718,Weekend/Holiday
122,2011-05-02,Musim semi,2011,May,0,Senin,Ya,Berkabut,22.515846999999997,26.64165,73.0,0.183454,847,3554,4401,12.291418,Weekday
123,2011-05-03,Musim semi,2011,May,0,Selasa,Ya,Berkabut,25.283347,29.10395,69.7083,0.342667,603,3848,4451,22.958689,Weekday
124,2011-05-04,Musim semi,2011,May,0,Rabu,Ya,Berkabut,16.980847,20.2325,73.70830000000001,0.328996,255,2378,2633,22.042732,Weekday
125,2011-05-05,Musim semi,2011,May,0,Kamis,Ya,Jelas,18.825847,22.09585,44.4167,0.295392,614,3819,4433,19.791263999999998,Weekday
126,2011-05-06,Musim semi,2011,May,0,Jummat,Ya,Jelas,19.645847,23.70585,59.0,0.228246,894,3714,4608,15.292482,Weekday
127,2011-05-07,Musim semi,2011,May,0,Sabtu,Tidak,Jelas,21.32,25.63105,54.125,0.16045,1612,3102,4714,10.750150000000001,Weekend/Holiday
128,2011-05-08,Musim semi,2011,May,0,Minggu,Tidak,Jelas,21.661653,25.946649999999998,63.1667,0.0746375,1401,2932,4333,5.0007125,Weekend/Holiday
129,2011-05-09,Musim semi,2011,May,0,Senin,Ya,Jelas,21.8325,26.2623,58.875,0.176,664,3698,4362,11.792,Weekday
130,2011-05-10,Musim semi,2011,May,0,Selasa,Ya,Jelas,21.8325,26.13605,48.9167,0.115671,694,4109,4803,7.749956999999999,Weekday
131,2011-05-11,Musim semi,2011,May,0,Rabu,Ya,Jelas,22.2425,26.419999999999998,63.29169999999999,0.120642,550,3632,4182,8.083014,Weekday
132,2011-05-12,Musim semi,2011,May,0,Kamis,Ya,Jelas,21.935000000000002,26.16815,74.75,0.189667,695,4169,4864,12.707689,Weekday
133,2011-05-13,Musim semi,2011,May,0,Jummat,Ya,Berkabut,21.0125,24.715,86.33330000000001,0.179725,692,3413,4105,12.041575,Weekday
134,2011-05-14,Musim semi,2011,May,0,Sabtu,Tidak,Berkabut,21.354153,25.03145,92.25,0.13495,902,2507,3409,9.041649999999999,Weekend/Holiday
135,2011-05-15,Musim semi,2011,May,0,Minggu,Tidak,Berkabut,23.0625,26.8,86.70830000000001,0.152979,1582,2971,4553,10.249593,Weekend/Holiday
136,2011-05-16,Musim semi,2011,May,0,Senin,Ya,Jelas,23.677500000000002,27.5256,78.79169999999999,0.126871,773,3185,3958,8.500357000000001,Weekday
137,2011-05-17,Musim semi,2011,May,0,Selasa,Ya,Berkabut,23.028347,26.926450000000003,83.7917,0.277354,678,3445,4123,18.582718,Weekday
138,2011-05-18,Musim semi,2011,May,0,Rabu,Ya,Berkabut,22.55,26.3579,87.0,0.201492,536,3319,3855,13.499964,Weekday
139,2011-05-19,Musim semi,2011,May,0,Kamis,Ya,Berkabut,21.764153,25.537100000000002,82.9583,0.108213,735,3840,4575,7.250271000000001,Weekday
140,2011-05-20,Musim semi,2011,May,0,Jummat,Ya,Jelas,22.003347,26.4521,71.9583,0.125013,909,4008,4917,8.375871,Weekday
141,2011-05-21,Musim semi,2011,May,0,Sabtu,Tidak,Jelas,24.7025,28.59875,62.6667,0.12065,2258,3547,5805,8.083549999999999,Weekend/Holiday
142,2011-05-22,Musim semi,2011,May,0,Minggu,Tidak,Jelas,24.770847,28.725,74.9583,0.148008,1576,3084,4660,9.916536,Weekend/Holiday
143,2011-05-23,Musim semi,2011,May,0,Senin,Ya,Berkabut,25.898346999999998,29.5148,81.0,0.233842,836,3438,4274,15.667413999999999,Weekday
144,2011-05-24,Musim semi,2011,May,0,Selasa,Ya,Berkabut,27.060000000000002,30.240650000000002,74.0833,0.207092,659,3833,4492,13.875164,Weekday
145,2011-05-25,Musim semi,2011,May,0,Rabu,Ya,Jelas,27.094153,30.7771,69.625,0.154233,740,4238,4978,10.333611000000001,Weekday
146,2011-05-26,Musim semi,2011,May,0,Kamis,Ya,Jelas,29.041653,32.7344,67.75,0.199642,758,3919,4677,13.376014,Weekday
147,2011-05-27,Musim semi,2011,May,0,Jummat,Ya,Jelas,27.948347000000002,31.8504,65.375,0.240679,871,3808,4679,16.125493,Weekday
148,2011-05-28,Musim semi,2011,May,0,Sabtu,Tidak,Jelas,26.889153,30.61895,72.9583,0.230092,2001,2757,4758,15.416164,Weekend/Holiday
149,2011-05-29,Musim semi,2011,May,0,Minggu,Tidak,Jelas,27.3675,30.777500000000003,81.875,0.213938,2355,2433,4788,14.333846,Weekend/Holiday
150,2011-05-30,Musim semi,2011,May,1,Senin,Tidak,Jelas,30.066653000000002,33.5546,68.5,0.131225,1549,2549,4098,8.792075,Weekday
151,2011-05-31,Musim semi,2011,May,0,Selasa,Ya,Jelas,31.775000000000002,36.26915,63.6667,0.111329,673,3309,3982,7.459042999999999,Weekday
152,2011-06-01,Musim semi,2011,June,0,Rabu,Ya,Berkabut,31.330847000000002,36.04835,67.7083,0.207092,513,3461,3974,13.875164,Weekday
153,2011-06-02,Musim semi,2011,June,0,Kamis,Ya,Jelas,29.314999999999998,32.1971,30.5,0.292287,736,4232,4968,19.583229000000003,Weekday
154,2011-06-03,Musim semi,2011,June,0,Jummat,Ya,Jelas,25.419999999999998,29.356650000000002,35.4167,0.253121,898,4414,5312,16.959107,Weekday
155,2011-06-04,Musim semi,2011,June,0,Sabtu,Tidak,Jelas,26.035,29.7348,45.625,0.123142,1869,3473,5342,8.250514,Weekend/Holiday
156,2011-06-05,Musim semi,2011,June,0,Minggu,Tidak,Berkabut,26.581653000000003,30.8402,65.25,0.138692,1685,3221,4906,9.292364000000001,Weekend/Holiday
157,2011-06-06,Musim semi,2011,June,0,Senin,Ya,Jelas,27.811653,31.0929,60.0,0.121896,673,3875,4548,8.167032,Weekday
158,2011-06-07,Musim semi,2011,June,0,Selasa,Ya,Jelas,29.0075,32.7975,59.791700000000006,0.187808,763,4070,4833,12.583136,Weekday
159,2011-06-08,Musim semi,2011,June,0,Rabu,Ya,Jelas,31.809153,36.36395,62.20830000000001,0.136817,676,3725,4401,9.166739,Weekday
160,2011-06-09,Musim semi,2011,June,0,Kamis,Ya,Berkabut,33.141653,37.87895,56.833299999999994,0.149883,563,3352,3915,10.042161,Weekday
161,2011-06-10,Musim semi,2011,June,0,Jummat,Ya,Jelas,30.955000000000002,35.1646,60.5,0.140554,815,3771,4586,9.417118,Weekday
162,2011-06-11,Musim semi,2011,June,0,Sabtu,Tidak,Jelas,29.724999999999998,33.901900000000005,65.45830000000001,0.15485,1729,3237,4966,10.374949999999998,Weekend/Holiday
163,2011-06-12,Musim semi,2011,June,0,Minggu,Tidak,Jelas,28.392500000000002,32.166250000000005,74.7917,0.163567,1467,2993,4460,10.958988999999999,Weekend/Holiday
164,2011-06-13,Musim semi,2011,June,0,Senin,Ya,Jelas,26.035,30.082700000000003,49.4583,0.30535,863,4157,5020,20.45845,Weekday
165,2011-06-14,Musim semi,2011,June,0,Selasa,Ya,Jelas,24.770847,29.5773,50.708299999999994,0.269283,727,4164,4891,18.041961,Weekday
166,2011-06-15,Musim semi,2011,June,0,Rabu,Ya,Jelas,25.693347,29.3877,47.1667,0.167912,769,4411,5180,11.250104,Weekday
167,2011-06-16,Musim semi,2011,June,0,Kamis,Ya,Berkabut,25.761653000000003,29.767300000000002,68.8333,0.206471,545,3222,3767,13.833556999999999,Weekday
168,2011-06-17,Musim semi,2011,June,0,Jummat,Ya,Jelas,26.615847000000002,30.01915,73.5833,0.143029,863,3981,4844,9.582942999999998,Weekday
169,2011-06-18,Musim semi,2011,June,0,Sabtu,Tidak,Jelas,28.563347,32.197700000000005,67.0417,0.119408,1807,3312,5119,8.000336,Weekend/Holiday
170,2011-06-19,Musim semi,2011,June,0,Minggu,Tidak,Berkabut,28.665847,32.292300000000004,66.6667,0.102,1639,3105,4744,6.834,Weekend/Holiday
171,2011-06-20,Musim semi,2011,June,0,Senin,Ya,Berkabut,26.035,29.767300000000002,74.625,0.155475,699,3311,4010,10.416825,Weekday
172,2011-06-21,Musim panas,2011,June,0,Selasa,Ya,Berkabut,27.914153000000002,31.8823,77.0417,0.171025,774,4061,4835,11.458675000000001,Weekday
173,2011-06-22,Musim panas,2011,June,0,Rabu,Ya,Jelas,30.066653000000002,34.69145,70.75,0.172262,661,3846,4507,11.541554,Weekday
